Country,Amount (USD),Transaction Type,Date of Transaction,Person Involved,Industry,Destination Country,Reported by Authority,Source of Money,Money Laundering Risk Score,Shell Companies Involved,Financial Institution,Tax Haven Country,Shell_Cat
Brazil,3267530.0,Offshore Transfer,2023-01-01 00:00:00,Person_1101,Construction,USA,True,Illegal,6,1,Bank_40,Singapore,Less than 3
China,4965767.0,Stocks Transfer,2023-01-01 01:00:00,Person_7484,Luxury Goods,South Africa,False,Illegal,9,0,Bank_461,Bahamas,Less than 3
UK,94168.0,Stocks Transfer,2023-01-01 02:00:00,Person_3655,Construction,Switzerland,True,Illegal,1,3,Bank_387,Switzerland,3 or more
UAE,386420.0,Cash Withdrawal,2023-01-01 03:00:00,Person_3226,Oil & Gas,Russia,False,Illegal,7,2,Bank_353,Panama,Less than 3
South Africa,643378.0,Cryptocurrency,2023-01-01 04:00:00,Person_7975,Real Estate,USA,True,Illegal,1,9,Bank_57,Luxembourg,3 or more
Russia,4921056.0,Property Purchase,2023-01-01 05:00:00,Person_4000,Arms Trade,Brazil,False,Legal,7,3,Bank_436,Cayman Islands,3 or more
Switzerland,3262818.0,Property Purchase,2023-01-01 06:00:00,Person_2517,Oil & Gas,Brazil,False,Legal,7,8,Bank_452,Panama,3 or more
UAE,4687205.0,Property Purchase,2023-01-01 07:00:00,Person_4310,Real Estate,UK,False,Illegal,3,5,Bank_88,Luxembourg,3 or more
Brazil,903906.0,Cryptocurrency,2023-01-01 08:00:00,Person_8955,Arms Trade,India,False,Illegal,3,6,Bank_87,Panama,3 or more
China,4174995.0,Offshore Transfer,2023-01-01 09:00:00,Person_9585,Arms Trade,China,False,Illegal,9,0,Bank_404,Switzerland,Less than 3
South Africa,2675519.0,Offshore Transfer,2023-01-01 10:00:00,Person_3241,Casinos,South Africa,True,Legal,8,1,Bank_273,Cayman Islands,Less than 3
Switzerland,3370300.0,Stocks Transfer,2023-01-01 11:00:00,Person_9098,Arms Trade,UK,False,Legal,9,1,Bank_252,Switzerland,Less than 3
Brazil,729588.0,Stocks Transfer,2023-01-01 12:00:00,Person_643,Real Estate,Brazil,False,Illegal,5,7,Bank_190,Cayman Islands,3 or more
South Africa,2973517.0,Property Purchase,2023-01-01 13:00:00,Person_3269,Real Estate,Singapore,False,Illegal,6,3,Bank_267,Luxembourg,3 or more
UK,3669888.0,Stocks Transfer,2023-01-01 14:00:00,Person_778,Construction,China,False,Legal,1,5,Bank_164,Switzerland,3 or more
China,3740051.0,Offshore Transfer,2023-01-01 15:00:00,Person_5538,Real Estate,Brazil,True,Illegal,3,6,Bank_211,Panama,3 or more
Switzerland,3865496.0,Stocks Transfer,2023-01-01 16:00:00,Person_8463,Real Estate,South Africa,True,Illegal,6,1,Bank_311,Switzerland,Less than 3
India,2168678.0,Cash Withdrawal,2023-01-01 17:00:00,Person_5269,Oil & Gas,South Africa,False,Illegal,9,6,Bank_439,Cayman Islands,3 or more
South Africa,1486877.0,Cryptocurrency,2023-01-01 18:00:00,Person_2149,Luxury Goods,UK,False,Illegal,5,4,Bank_50,Cayman Islands,3 or more
UAE,4311216.0,Cash Withdrawal,2023-01-01 19:00:00,Person_8310,Construction,UK,False,Legal,6,5,Bank_337,Bahamas,3 or more
Switzerland,4207603.0,Stocks Transfer,2023-01-01 20:00:00,Person_4043,Luxury Goods,UAE,False,Illegal,4,5,Bank_409,Bahamas,3 or more
USA,2669181.0,Property Purchase,2023-01-01 21:00:00,Person_6311,Oil & Gas,Singapore,True,Illegal,1,7,Bank_380,Switzerland,3 or more
Brazil,970553.0,Offshore Transfer,2023-01-01 22:00:00,Person_9762,Luxury Goods,Switzerland,False,Legal,3,2,Bank_471,Luxembourg,Less than 3
UK,2556051.0,Cash Withdrawal,2023-01-01 23:00:00,Person_5,Casinos,Singapore,False,Illegal,8,5,Bank_490,Luxembourg,3 or more
USA,1001674.0,Property Purchase,2023-01-02 00:00:00,Person_587,Real Estate,USA,False,Illegal,10,1,Bank_209,Luxembourg,Less than 3
Brazil,4386549.0,Property Purchase,2023-01-02 01:00:00,Person_1879,Construction,UAE,False,Illegal,4,9,Bank_405,Panama,3 or more
UAE,870064.0,Stocks Transfer,2023-01-02 02:00:00,Person_4729,Oil & Gas,Russia,False,Legal,2,8,Bank_287,Luxembourg,3 or more
Russia,2998827.0,Property Purchase,2023-01-02 03:00:00,Person_516,Real Estate,China,False,Legal,6,4,Bank_323,Luxembourg,3 or more
USA,3747603.0,Offshore Transfer,2023-01-02 04:00:00,Person_160,Luxury Goods,USA,False,Illegal,9,7,Bank_266,Singapore,3 or more
India,1930397.0,Offshore Transfer,2023-01-02 05:00:00,Person_7905,Construction,Switzerland,False,Illegal,9,9,Bank_461,Bahamas,3 or more
Brazil,1452528.0,Property Purchase,2023-01-02 06:00:00,Person_8714,Construction,China,False,Illegal,1,8,Bank_38,Luxembourg,3 or more
South Africa,3292071.0,Offshore Transfer,2023-01-02 07:00:00,Person_5732,Arms Trade,India,False,Legal,2,3,Bank_494,Singapore,3 or more
UK,4291183.0,Cash Withdrawal,2023-01-02 08:00:00,Person_9688,Casinos,South Africa,False,Illegal,9,7,Bank_113,Cayman Islands,3 or more
UAE,4862728.0,Cryptocurrency,2023-01-02 09:00:00,Person_9219,Luxury Goods,UAE,False,Legal,8,9,Bank_135,Bahamas,3 or more
Brazil,2332845.0,Stocks Transfer,2023-01-02 10:00:00,Person_9853,Real Estate,Russia,False,Legal,9,8,Bank_342,Bahamas,3 or more
